Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Season,Prev_Season,Market_Value_Home,Market_Value_Away,Strength_Rank_Based_Home,Pythagorean_Exp_Home,Avg_Goals_Scored_Home,Home_Dependency_Home,Strength_Rank_Based_Away,Pythagorean_Exp_Away,Avg_Goals_Scored_Away,Home_Dependency_Away,Target,Log_Market_Value_Home,Log_Market_Value_Away,Avg_Shots_Target_Home,Avg_Corners_Home,Avg_Cards_Home,Avg_Shots_Target_Away,Avg_Corners_Away,Avg_Cards_Away
F1,07/08/10,00:00,AJ Auxerre,FC Lorient,2.0,2.0,D,1.0,1.0,D,11.0,10.0,6.0,2.0,3.0,3.0,14.0,9.0,3.0,3.0,0.0,0.0,10-11,09-10,66.15,62.75,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.206928922969246,4.154969184038536,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,RC Lens,AS Nancy-Lorraine,1.0,2.0,A,0.0,1.0,A,17.0,19.0,6.0,6.0,2.0,4.0,17.0,18.0,3.0,1.0,0.0,1.0,10-11,09-10,45.6,52.65,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,3.8416005411316,3.9824814690767076,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,Olympique Lyon,AS Monaco,0.0,0.0,D,0.0,0.0,D,16.0,9.0,5.0,4.0,3.0,5.0,14.0,24.0,2.0,3.0,0.0,0.0,10-11,09-10,190.25,75.4,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,5.253581472706645,4.335982696172475,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,Olympique Marseille,SM Caen,1.0,2.0,A,0.0,0.0,D,16.0,12.0,3.0,2.0,6.0,3.0,16.0,23.0,2.0,3.0,0.0,0.0,10-11,09-10,167.9,36.1,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,5.129306823813755,3.6136169696133895,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,OGC Nice,Valenciennes FC,0.0,0.0,D,0.0,0.0,D,10.0,11.0,2.0,1.0,4.0,6.0,11.0,20.0,0.0,3.0,0.0,0.0,10-11,09-10,63.5,57.45,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.1666652238017265,4.068171687918078,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,Paris Saint-Germain,AS Saint-Étienne,3.0,1.0,H,2.0,1.0,H,19.0,14.0,6.0,5.0,6.0,7.0,11.0,12.0,2.0,1.0,0.0,0.0,10-11,09-10,100.2,72.05,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,4.617098756853365,4.291144138196708,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,Stade Rennais FC,LOSC Lille,1.0,1.0,D,1.0,0.0,H,20.0,14.0,5.0,5.0,6.0,3.0,23.0,21.0,3.0,3.0,0.0,0.0,10-11,09-10,108.95,127.4,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.70002571700077,4.855150391255861,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,FC Sochaux-Montbéliard,AC Arles-Avignon,2.0,1.0,H,1.0,1.0,D,14.0,10.0,6.0,1.0,10.0,3.0,16.0,19.0,2.0,4.0,0.0,0.0,10-11,09-10,60.1,19.95,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,4.11251186617755,3.0421386463681466,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,07/08/10,00:00,FC Toulouse,Stade Brestois 29,2.0,0.0,H,1.0,0.0,H,9.0,9.0,4.0,1.0,2.0,3.0,21.0,18.0,3.0,2.0,0.0,0.0,10-11,09-10,80.63,34.1,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,4.402196841463264,3.55820113047182,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,08/08/10,00:00,Montpellier HSC,FC Girondins Bordeaux,1.0,0.0,H,0.0,0.0,D,9.0,8.0,3.0,1.0,5.0,1.0,22.0,13.0,5.0,2.0,0.0,0.0,10-11,09-10,51.35,123.65,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,3.9579519373165457,4.825509809969567,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,AC Arles-Avignon,RC Lens,0.0,1.0,A,0.0,0.0,D,11.0,10.0,3.0,4.0,4.0,4.0,13.0,17.0,1.0,0.0,0.0,0.0,10-11,09-10,19.95,45.6,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,3.0421386463681466,3.8416005411316,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,15/08/10,00:00,FC Girondins Bordeaux,FC Toulouse,1.0,2.0,A,0.0,1.0,A,10.0,6.0,3.0,3.0,4.0,1.0,17.0,22.0,2.0,4.0,0.0,0.0,10-11,09-10,123.65,80.63,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,4.825509809969567,4.402196841463264,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,Stade Brestois 29,AJ Auxerre,1.0,1.0,D,1.0,0.0,H,11.0,12.0,3.0,4.0,8.0,7.0,29.0,16.0,2.0,3.0,0.0,0.0,10-11,09-10,34.1,66.15,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,3.55820113047182,4.206928922969246,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,15/08/10,00:00,SM Caen,Olympique Lyon,3.0,2.0,H,2.0,2.0,D,12.0,16.0,7.0,2.0,4.0,2.0,16.0,17.0,2.0,1.0,0.0,1.0,10-11,09-10,36.1,190.25,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,3.6136169696133895,5.253581472706645,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,15/08/10,00:00,LOSC Lille,Paris Saint-Germain,0.0,0.0,D,0.0,0.0,D,11.0,10.0,1.0,4.0,5.0,1.0,16.0,14.0,1.0,4.0,0.0,0.0,10-11,09-10,127.4,100.2,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.855150391255861,4.617098756853365,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,FC Lorient,OGC Nice,1.0,2.0,A,1.0,1.0,D,11.0,14.0,2.0,5.0,5.0,5.0,11.0,15.0,1.0,2.0,0.0,0.0,10-11,09-10,62.75,63.5,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,4.154969184038536,4.1666652238017265,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,AS Nancy-Lorraine,Stade Rennais FC,0.0,3.0,A,0.0,0.0,D,9.0,15.0,2.0,6.0,5.0,2.0,13.0,13.0,0.0,0.0,1.0,0.0,10-11,09-10,52.65,108.95,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.0,3.9824814690767076,4.70002571700077,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,AS Saint-Étienne,FC Sochaux-Montbéliard,3.0,2.0,H,1.0,0.0,H,17.0,16.0,7.0,6.0,7.0,10.0,20.0,14.0,2.0,1.0,0.0,0.0,10-11,09-10,72.05,60.1,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,4.291144138196708,4.11251186617755,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,14/08/10,00:00,Valenciennes FC,Olympique Marseille,3.0,2.0,H,0.0,0.0,D,13.0,14.0,6.0,3.0,2.0,6.0,20.0,10.0,3.0,4.0,0.0,0.0,10-11,09-10,57.45,167.9,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,1.0,4.068171687918078,5.129306823813755,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,17/08/10,00:00,AS Monaco,Montpellier HSC,0.0,0.0,D,0.0,0.0,D,10.0,19.0,2.0,4.0,1.0,1.0,17.0,12.0,1.0,3.0,0.0,0.0,10-11,09-10,75.4,51.35,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.335982696172475,3.9579519373165457,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
F1,21/08/10,00:00,AJ Auxerre,Valenciennes FC,1.0,1.0,D,0.0,0.0,D,9.0,7.0,2.0,2.0,7.0,4.0,19.0,11.0,3.0,2.0,0.0,0.0,10-11,09-10,66.15,57.45,0.05,0.35,0.8,0.5,0.05,0.35,0.8,0.5,0.5,4.206928922969246,4.068171687918078,4.3466916369540805,4.889950370108451,2.1458361312997103,4.3466916369540805,4.889950370108451,2.1458361312997103
